    PID TTY      STAT   TIME COMMAND
    963 ?        I<     0:00 [mlx5_fw_tracer]
    964 ?        I<     0:00 [mlx5_hv_vhca]
    965 ?        I<     0:00 [mlx5_fc]
    966 ?        I<     0:00 [mlx5_health0000]
    967 ?        I<     0:00 [mlx5_page_alloc]
    968 ?        I<     0:00 [mlx5_cmd_0000:8]
    970 ?        I<     0:00 [mlx5_events]
    971 ?        I<     0:00 [mlx5_fw_reset_e]
    972 ?        I<     0:00 [mlx5_esw_wq]
    973 ?        I<     0:00 [mlx5_fw_tracer]
    974 ?        I<     0:00 [mlx5_hv_vhca]
    975 ?        I<     0:00 [mlx5_fc]
    976 ?        I<     0:00 [mlx5e]
    977 ?        I<     0:00 [mlx5e_arfs]
    978 ?        I<     0:00 [mlx5e]
    979 ?        I<     0:00 [mlx5e_arfs]
    980 ?        I<     0:00 [mlx5e]
    981 ?        I<     0:00 [mlx5e_arfs]
    982 ?        I<     0:00 [mlx5e]
    983 ?        I<     0:00 [mlx5e_arfs]
   1050 ?        I<     0:00 [raid5wq]
   1093 ?        I<     0:00 [kworker/44:1H-kblockd]
   1094 ?        S     10:18 [jbd2/sda2-8]
   1095 ?        I<     0:00 [ext4-rsv-conver]
   1096 ?        I<     0:00 [kworker/1:1H-kblockd]
   1113 ?        I<     0:00 [kworker/6:1H-events_highpri]
   1123 ?        I<     0:00 [kworker/11:1H-events_highpri]
   1128 ?        I<     0:00 [kworker/10:1H-events_highpri]
   1132 ?        I<     0:00 [kworker/41:1H-kblockd]
   1133 ?        I<     0:00 [kworker/42:1H-events_highpri]
   1134 ?        I<     0:00 [kworker/20:1H-events_highpri]
   1136 ?        I<     0:00 [kworker/43:1H-kblockd]
   1138 ?        I<     0:00 [kworker/5:1H-kblockd]
   1141 ?        I<     0:00 [kworker/47:1H-kblockd]
   1145 ?        I<     0:00 [kworker/48:1H-kblockd]
   1146 ?        I<     0:00 [kworker/49:1H-kblockd]
   1159 ?        I<     0:00 [kworker/4:1H-events_highpri]
   1163 ?        I<     0:00 [kworker/18:1H-kblockd]
   1164 ?        I<     0:00 [kworker/53:1H-kblockd]
   1165 ?        I<     0:00 [kworker/13:1H-kblockd]
   1166 ?        I<     0:00 [kworker/19:1H-kblockd]
   1169 ?        I<     0:00 [kworker/59:1H-events_highpri]
   1170 ?        I<     0:00 [kworker/0:1H-kblockd]
   1171 ?        I<     0:00 [kworker/58:1H-kblockd]
   1172 ?        I<     0:00 [kworker/40:1H-kblockd]
   1179 ?        I<     0:00 [kworker/56:1H-kblockd]
   1180 ?        I<     0:00 [kworker/16:1H-kblockd]
   1182 ?        I<     0:00 [kworker/55:1H-kblockd]
   1183 ?        I<     0:00 [kworker/52:1H-kblockd]
   1184 ?        I<     0:00 [kworker/14:1H-kblockd]
   1195 ?        I<     0:00 [rpciod]
   1196 ?        I<     0:00 [xprtiod]
   1199 ?        S<s    0:26 /lib/systemd/systemd-journald
   1212 ?        I<     0:00 [kworker/57:1H-kblockd]
   1220 ?        I<     0:00 [ipmi-msghandler]
   1228 ?        I<     0:00 [kworker/50:1H-kblockd]
   1229 ?        I<     0:00 [kworker/65:1H-events_highpri]
   1231 ?        I<     0:00 [kworker/30:1H-kblockd]
   1234 ?        Ss     0:11 /lib/systemd/systemd-udevd
   1235 ?        I<     0:00 [kworker/15:1H-kblockd]
   1407 ?        I<     0:00 [kworker/29:1H-events_highpri]
   1408 ?        I<     0:00 [kworker/73:1H-kblockd]
   1409 ?        I<     0:00 [kworker/74:1H-kblockd]
   1412 ?        I<     0:00 [kworker/75:1H-events_highpri]
   1418 ?        I<     0:00 [kworker/72:1H-kblockd]
   1420 ?        I<     0:00 [kworker/36:1H-events_highpri]
   1431 ?        I<     0:00 [kworker/76:1H-events_highpri]
   1435 ?        I<     0:00 [kworker/7:1H-kblockd]
   1436 ?        I<     0:00 [ib-comp-wq]
   1437 ?        I<     0:00 [kworker/9:1H-kblockd]
   1438 ?        I<     0:00 [ib-comp-unb-wq]
   1439 ?        I<     0:00 [ib_mcast]
   1440 ?        I<     0:00 [ib_nl_sa_wq]
   1509 ?        I<     0:00 [kworker/46:1H-kblockd]
